URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET_1,CHARSET_2,CHARSET_3,CHARSET_4,WHOIS_COUNTRY,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES
34,7,1,0,0,0,0.04740406320541761,23,3,11,2042,29,29,7939,2520,29,6.0
145,31,0,1,0,0,0.04740406320541761,10,3,3,1354,18,19,2517,2010,18,8.0
55,8,0,1,0,0,0.214876033036621,24,3,9,1715,26,31,22292,1867,26,2.0
75,16,1,0,0,0,0.04740406320541761,33,3,8,3647,41,39,32399,4247,41,8.0
71,12,0,1,0,0,0.09580652013133378,25,3,5,3428,29,23,28007,3736,29,4.0
60,11,0,1,0,0,0.214876033036621,4,2,3,408,4,4,250,408,4,0.0
39,8,0,1,0,0,0.04740406320541761,22,9,10,1524,22,11,702,1524,22,0.0
60,12,0,1,0,0,0.214876033036621,113,0,3,7746,117,134,229040,8062,117,4.0
39,8,0,1,0,0,0.04740406320541761,6,2,3,492,6,3,184,492,6,0.0
32,6,0,1,0,0,0.214876033036621,4,3,2,432,4,5,310,432,4,0.0
48,9,0,1,0,0,0.04740406320541761,0,0,0,0,0,0,0,0,0,0.0
39,10,0,1,0,0,0.04740406320541761,57,49,5,5951,65,64,56509,6543,65,8.0
70,12,0,1,0,0,0.214876033036621,15,0,3,1150,17,17,15499,1304,17,2.0
39,8,0,1,0,0,0.10308492539855425,0,0,0,0,0,0,0,0,0,0.0
52,8,0,1,0,0,0.0489267334746623,0,0,0,0,0,0,0,0,0,0.0
101,15,0,1,0,0,0.016914153705329456,4,2,2,276,4,5,416,276,4,2.263483146067416
44,8,0,1,0,0,0.04740406320541761,71,1,6,5647,79,79,120385,6295,79,8.0
66,13,0,1,0,0,0.214876033036621,0,0,0,0,0,0,0,0,0,0.0
42,10,1,0,0,0,0.04740406320541761,23,0,2,3969,29,24,12354,4433,29,6.0
103,21,0,1,0,0,0.04740406320541761,0,0,0,0,0,0,0,0,0,0.0
50,12,1,0,0,0,0.04740406320541761,17,0,5,1570,21,21,6049,1842,21,4.0
36,11,0,1,0,0,0.214876033036621,21,1,5,2359,29,23,3542,2951,29,8.0
25,6,0,1,0,0,0.016914153705329456,0,0,0,0,0,0,0,0,0,0.0
40,7,0,1,0,0,0.016914153705329456,76,9,7,8268,84,88,117625,8898,84,8.0
69,14,0,1,0,0,0.04740406320541761,0,0,0,0,0,0,0,0,0,0.0
46,8,1,0,0,0,0.214876033036621,74,0,2,18084,78,96,113453,18384,78,4.0
24,9,1,0,0,0,0.12263051731655518,7,0,2,720,9,10,1269,868,9,2.0
28,9,0,1,0,0,0.2821016227362368,5,0,1,592,7,9,1062,732,7,2.0
35,9,0,1,0,0,0.214876033036621,12,1,5,1340,16,12,964,1622,16,4.0
62,11,0,1,0,0,0.214876033036621,21,5,7,1810,25,21,2519,2102,25,4.0
37,9,0,1,0,0,0.08411951038412753,11,10,7,834,11,14,882,834,11,0.0
28,7,0,0,1,0,0.04740406320541761,5,0,2,556,9,9,1154,860,9,4.0
63,13,0,0,1,0,0.04740406320541761,32,20,13,3967,38,44,23969,4429,38,6.0
28,7,1,0,0,0,0.09779972707585245,8,4,6,696,8,10,634,696,8,0.0
41,11,0,1,0,0,0.214876033036621,15,1,5,1653,21,19,2798,2103,21,6.0
146,28,0,1,0,0,0.9393046570130593,0,0,0,0,0,2,124,0,0,0.0
194,17,0,1,0,0,0.9393046570130593,0,0,0,0,0,3,186,0,0,0.0
45,9,0,1,0,0,0.04740406320541761,47,41,4,6464,55,53,39038,7072,55,8.0
