,URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,WHOIS_COUNTRY,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
0,M0_109,16,7,Iso-8859-1,Not_available,7,0,2,700,9,10,1153,832,9,2.0,1
1,B0_2314,16,6,Utf-8,Not_available,17,7,4,1230,17,19,1265,1230,17,0.0,0
2,B0_911,16,6,Us-ascii,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
3,B0_113,17,6,Iso-8859-1,Us,31,22,3,3812,39,37,18784,4380,39,8.0,0
4,B0_403,17,6,Utf-8,Us,57,2,5,4278,61,62,129889,4586,61,4.0,0
5,B0_2064,18,7,Utf-8,Sc,11,6,9,894,11,13,838,894,11,0.0,0
6,B0_462,18,6,Iso-8859-1,Us,12,0,3,1189,14,13,8559,1327,14,2.0,0
7,B0_1128,19,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
8,M2_17,20,5,Utf-8,Not_available,0,0,0,0,2,3,213,146,2,2.0,1
9,M3_75,20,5,Utf-8,Not_available,0,0,0,0,2,1,62,146,2,2.0,1
10,B0_1013,20,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
11,B0_1102,20,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
12,B0_22,20,7,Utf-8,Gb,16,6,8,1492,20,20,2334,1784,20,4.0,0
13,B0_482,20,6,Iso-8859-1,Not_available,25,19,4,3946,35,29,16408,4746,35,10.0,0
14,B0_869,20,7,Iso-8859-1,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
15,M0_71,21,7,Iso-8859-1,Uk,7,0,1,717,11,10,1960,1011,11,4.0,1
16,M0_97,21,7,Iso-8859-1,Ru,6,0,2,603,8,9,1580,745,8,2.0,1
17,B0_2303,21,6,Us-ascii,Not_available,7,7,3,618,7,9,562,618,7,0.0,0
18,B0_584,21,6,Utf-8,Not_available,13,1,5,1099,15,17,15476,1243,15,2.0,0
19,M0_69,22,7,Us-ascii,Us,9,0,4,850,11,9,1354,994,11,2.0,1
20,B0_161,22,6,Utf-8,Us,39,29,6,3833,43,42,22495,4125,43,4.0,0
21,B0_2122,22,6,Iso-8859-1,Us,8,6,6,696,8,10,636,696,8,0.0,0
22,B0_2176,22,6,Iso-8859-1,Not_available,4,3,2,420,4,6,372,420,4,0.0,0
23,B0_569,22,7,Utf-8,Au,12,0,2,2259,16,12,5165,2559,16,4.0,0
24,B0_601,22,6,Utf-8,Us,6,0,3,650,10,10,1417,950,10,4.0,0
25,B0_884,22,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
26,B0_905,22,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
27,B0_916,22,6,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
28,B0_102,23,6,Utf-8,Us,16,3,11,1696,18,20,13422,1844,18,2.0,0
29,B0_1130,23,6,Iso-8859-1,Pa,0,0,0,0,0,0,0,0,0,0.0,0
30,B0_1185,23,6,Us-ascii,Se,0,0,0,0,0,0,0,0,0,0.0,0
31,B0_1369,23,6,Utf-8,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
32,B0_1412,23,7,Iso-8859-1,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
33,B0_2217,23,6,Iso-8859-1,Us,7,4,5,630,7,4,244,630,7,0.0,0
34,B0_2240,23,7,Utf-8,Not_available,24,5,8,1740,24,11,696,1740,24,0.0,0
36,B0_241,23,6,Utf-8,Gb,19,14,6,1980,23,25,5737,2276,23,4.0,0
37,B0_285,23,6,Utf-8,Us,4,0,1,519,8,8,1138,823,8,4.0,0
38,B0_465,23,6,Utf-8,Us,10,0,5,1186,14,15,1900,1476,14,4.0,0
39,B0_599,23,6,Iso-8859-1,In,43,4,4,5738,47,50,56926,6046,47,4.0,0
40,B0_614,23,6,Iso-8859-1,Us,8,0,2,723,10,11,1837,871,10,2.0,0
41,B0_622,23,6,Iso-8859-1,Ca,40,17,16,3285,46,45,12003,3729,46,6.0,0
42,B0_790,23,6,Us-ascii,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
43,M0_175,24,8,Iso-8859-1,Not_available,2,0,1,132,2,5,318,132,2,0.0,1
44,M0_89,24,9,Iso-8859-1,In,7,0,2,720,9,10,1269,868,9,2.0,1
45,B0_108,24,6,Utf-8,Lu,84,54,5,10490,96,106,106925,11482,96,12.0,0
46,B0_126,24,6,Iso-8859-1,Us,65,3,5,6286,69,75,90508,6596,69,4.0,0
47,B0_171,24,7,Utf-8,Us,14,6,6,1907,18,18,5601,2171,18,4.0,0
48,B0_2301,24,6,Utf-8,Not_available,7,7,3,618,7,9,562,618,7,0.0,0
49,B0_2313,24,6,Utf-8,Not_available,6,3,2,528,6,4,244,528,6,0.0,0
50,B0_2315,24,6,Us-ascii,Ca,6,4,4,564,6,8,508,564,6,0.0,0
51,B0_282,24,8,Iso-8859-1,Us,19,2,4,2131,23,23,9471,2441,23,4.0,0
52,B0_321,24,6,Utf-8,Ca,12,2,7,984,16,16,1839,1292,16,4.0,0
53,B0_326,24,7,Iso-8859-1,Not_available,21,1,8,1606,25,13,1276,1914,25,4.0,0
54,B0_483,24,7,Utf-8,Not_available,16,6,8,2279,22,22,2562,2729,22,6.0,0
55,B0_543,24,6,Iso-8859-1,Us,19,5,9,1390,21,25,3890,1540,21,2.0,0
