,Type
1266,0
1031,1
212,0
911,1
1232,1
1131,1
1005,1
90,1
1321,1
143,1
1099,1
518,0
537,1
626,0
731,0
12,1
630,0
230,1
181,0
27,1
530,0
439,1
176,1
1078,1
176,1
1081,1
1168,0
411,1
300,0
198,1
351,0
189,0
74,1
1314,0
899,0
672,1
122,1
1379,0
94,0
600,0
543,1
15,0
726,1
880,0
926,1
749,1
1263,1
288,1
407,0
109,0
1289,1
682,0
251,0
1286,0
442,0
355,0
21,1
972,1
263,0
1374,0
574,1
1020,1
22,0
176,1
1306,1
31,1
797,1
381,0
874,0
26,1
296,0
1173,0
345,0
581,1
1000,1
681,0
1205,0
496,1
1309,0
601,1
653,1
198,1
1315,0
137,0
859,0
884,0
963,0
575,1
1409,1
1408,0
1143,0
27,1
1036,0
101,1
84,0
931,0
628,0
974,0
298,0
92,1
906,1
1000,1
717,0
176,1
844,0
1111,0
1201,1
1226,1
789,0
994,0
272,0
797,1
1031,1
1243,0
59,1
159,0
102,0
62,0
1099,1
596,0
198,1
257,0
910,0
314,0
411,1
671,1
1086,0
24,0
252,0
1119,0
27,1
389,0
495,0
1070,1
869,0
723,0
96,0
281,0
74,1
984,1
1373,0
975,1
1206,1
35,1
55,1
430,0
142,0
1113,1
1193,1
556,1
1051,0
1070,1
593,0
809,0
1409,1
890,1
627,1
481,0
480,1
1033,0
1394,0
1118,1
1363,0
1047,1
672,1
1306,1
577,0
1113,1
92,1
1241,1
0,0
1022,0
1393,0
1252,1
1053,1
1053,1
668,0
1368,0
575,1
498,1
581,1
543,1
391,0
1000,1
843,0
1396,0
1163,1
1180,1
1388,1
734,1
904,1
517,1
749,1
129,0
498,1
1105,0
262,1
471,0
1271,0
526,0
1020,1
896,0
641,0
790,0
812,1
1129,1
830,0
933,1
912,0
797,1
519,0
945,0
1063,0
1026,0
985,0
215,0
1094,1
264,0
1276,0
414,0
1241,1
1362,0
168,0
749,1
299,0
1070,1
716,1
773,0
1146,1
1032,0
1018,1
363,0
741,1
515,0
1065,0
785,0
1232,1
1289,1
904,1
470,0
980,0
1247,0
237,1
975,1
807,0
136,1
656,0
384,0
1070,1
964,0
1055,1
473,1
595,1
548,1
863,0
727,0
709,0
342,0
1053,1
136,1
604,0
1023,0
269,1
379,0
498,1
132,0
177,0
629,0
1113,1
533,1
1047,1
741,1
892,0
527,1
1308,1
311,0
901,0
237,1
1242,0
1275,1
894,0
797,1
536,1
926,1
1398,0
35,1
779,0
237,1
324,0
269,1
227,0
635,1
553,1
1018,1
411,1
256,1
136,1
645,0
428,0
1040,0
572,0
726,1
462,1
72,0
842,0
480,1
1047,1
1289,1
447,1
74,1
631,1
748,0
1193,1
226,0
83,1
66,0
224,0
25,0
411,1
1047,1
482,0
46,0
1055,1
197,0
122,1
1304,0
91,1
1258,0
1193,1
12,1
233,0
533,1
826,0
612,0
411,1
427,0
462,1
333,0
323,0
1226,1
1206,1
533,1
1226,1
1351,1
238,0
1209,0
91,1
867,0
143,1
1277,0
271,1
1116,1
422,1
1352,1
617,0
1371,0
146,0
1000,1
916,0
855,0
234,0
83,1
1148,0
550,0
1217,0
1092,0
136,1
18,1
1018,1
528,1
462,1
1335,0
55,1
1080,0
231,1
134,1
679,0
1226,1
797,1
741,1
861,0
1204,0
1070,1
870,1
1321,1
860,0
627,1
1308,1
236,0
248,1
222,0
1201,1
1347,0
477,0
914,1
729,0
672,1
12,1
120,1
1116,1
812,1
1069,0
473,1
548,1
926,1
1283,0
796,1
261,0
720,1
74,1
1234,0
1402,0
528,1
411,1
821,0
879,0
1409,1
372,0
248,1
581,1
276,1
1018,1
968,0
26,1
547,0
904,1
1261,1
937,0
926,1
537,1
848,0
1220,0
59,1
941,0
533,1
34,1
533,1
693,0
1053,1
1020,1
1048,0
1206,1
1192,0
469,1
762,1
434,1
696,1
631,1
1124,0
534,0
760,0
615,0
135,0
966,0
802,0
824,1
1352,1
1327,0
1332,0
1321,1
8,0
1351,1
523,0
100,1
1410,1
836,0
77,0
454,0
797,1
905,1
796,1
562,0
533,1
1141,0
751,0
1011,0
26,1
469,1
849,1
152,0
1199,0
581,1
1219,0
1078,1
143,1
528,1
1053,1
1190,0
1409,1
812,1
458,1
230,1
1261,1
462,1
1152,0
1196,0
1289,1
271,1
190,0
982,0
610,0
1275,1
258,0
461,0
824,1
411,1
171,0
245,0
230,1
640,0
575,1
692,0
1081,1
1020,1
149,0
1246,0
110,0
1260,0
120,1
824,1
1292,0
297,0
517,1
328,0
118,0
1058,0
36,1
404,0
394,1
1351,1
1278,0
86,1
167,0
1122,0
967,0
464,0
782,0
528,1
1281,0
469,1
100,1
594,0
1191,0
1010,0
86,1
578,0
483,0
1352,1
271,1
1047,1
759,0
536,1
415,0
187,0
611,0
565,0
672,1
1031,1
903,0
458,1
1186,0
955,1
1091,0
561,0
47,1
774,1
1079,1
865,0
40,0
613,0
504,0
522,0
244,0
828,0
627,1
1213,0
75,0
1131,1
101,1
52,0
92,1
1135,0
1081,1
453,0
1388,1
1129,1
316,0
1031,1
445,0
248,1
724,0
554,0
1307,0
1150,0
726,1
12,1
1030,0
198,1
517,1
1042,0
399,0
734,1
1120,1
959,1
82,0
47,1
849,1
1300,0
1097,0
862,0
21,1
920,1
86,1
156,0
1070,1
418,0
1330,0
1075,0
920,1
972,1
1089,0
1146,1
798,0
12,1
553,1
71,0
1229,0
490,0
542,1
762,1
276,1
1275,1
1275,1
392,0
1302,0
978,0
638,0
750,0
1174,0
176,1
1078,1
313,1
276,1
124,0
1140,1
566,0
888,0
183,0
1275,1
1299,0
917,0
136,1
796,1
1337,0
1131,1
1114,0
922,0
627,1
795,1
559,0
34,1
762,1
905,1
182,0
1078,1
890,1
289,0
44,0
34,1
1323,0
1129,1
1116,1
1085,0
1391,0
282,0
700,0
2,0
691,1
627,1
1237,1
704,0
990,0
1361,0
237,1
1009,0
1018,1
818,0
375,0
465,0
34,1
1336,1
1193,1
1336,1
83,1
820,0
827,0
1388,1
1082,0
556,1
467,0
663,0
1343,0
527,1
1275,1
395,0
98,0
57,0
1006,0
1129,1
267,0
970,0
911,1
800,1
180,0
972,1
1180,1
1144,0
138,0
553,1
960,0
249,0
1131,1
850,0
926,1
36,1
349,0
1218,0
1241,1
1367,0
1241,1
870,1
254,0
1264,0
521,0
186,0
1321,1
882,0
352,1
455,0
528,1
890,1
446,0
460,0
556,1
253,0
716,1
1147,0
1037,0
255,0
205,0
955,1
1226,1
575,1
800,1
1193,1
878,0
230,1
1287,0
1298,0
1401,0
27,1
506,1
653,1
705,0
1406,0
250,0
803,0
1201,1
535,0
473,1
768,0
734,1
203,0
622,0
413,0
672,1
35,1
631,1
101,1
1329,0
542,1
411,1
341,0
336,0
697,0
505,0
1203,0
386,0
1078,1
623,1
90,1
90,1
1294,0
1162,0
783,0
581,1
473,1
1146,1
881,0
49,0
1079,1
1061,0
1129,1
537,1
936,0
368,0
635,1
377,0
123,0
1142,0
684,0
920,1
1041,0
1078,1
1275,1
720,1
796,1
269,1
1118,1
603,1
256,1
1087,0
313,1
959,1
921,0
993,0
1073,0
34,1
175,0
939,0
975,1
905,1
800,1
683,0
1018,1
797,1
478,0
36,1
1116,1
34,1
560,0
570,1
905,1
241,0
906,1
1389,0
556,1
747,0
539,0
627,1
851,0
67,0
1263,1
908,0
1261,1
947,0
1321,1
434,1
856,0
150,1
1193,1
660,0
1071,0
608,0
761,1
569,1
1244,0
1013,0
780,0
720,1
81,0
666,0
1125,0
774,1
987,0
1047,1
1201,1
28,1
1252,1
1180,1
1021,0
420,0
570,1
1413,0
758,1
669,0
911,1
1351,1
422,1
546,0
150,1
741,1
361,0
1005,1
276,1
981,0
528,1
1031,1
435,0
774,1
276,1
1007,0
1053,1
134,1
634,0
441,0
1102,0
1084,0
422,1
213,0
457,0
353,0
540,0
1387,0
581,1
303,0
944,0
905,1
1405,0
686,0
201,0
1131,1
291,0
462,1
1404,0
621,0
667,0
70,0
47,1
262,1
1412,0
738,0
543,1
1351,1
1193,1
533,1
1055,1
766,1
672,1
1194,0
411,1
825,0
840,0
657,0
890,1
824,1
202,0
1185,0
484,0
1390,0
1099,1
447,1
112,0
35,1
920,1
198,1
774,1
1163,1
1308,1
359,0
614,0
1031,1
1224,0
726,1
462,1
169,0
1316,0
841,0
1180,1
1201,1
480,1
262,1
122,1
720,1
476,0
581,1
279,0
955,1
10,0
984,1
331,0
755,0
797,1
1250,0
472,0
468,0
770,0
725,0
1018,1
946,1
1107,0
93,0
570,1
1184,0
59,1
27,1
1120,1
1376,0
473,1
1272,0
508,0
1385,0
1113,1
259,0
65,0
246,0
762,1
1240,0
975,1
1008,0
541,0
237,1
35,1
885,0
702,0
745,0
923,0
1005,1
774,1
1275,1
456,0
1416,0
1366,0
269,1
741,1
1176,0
117,0
1249,0
335,0
1364,0
162,0
1336,1
1263,1
849,1
1112,0
1029,0
63,0
726,1
1183,0
695,0
394,1
1322,0
914,1
412,0
83,1
34,1
115,0
18,1
533,1
248,1
1103,0
507,0
265,1
911,1
835,0
411,1
1127,0
1188,0
150,1
1001,0
73,0
1222,0
424,0
720,1
734,1
762,1
433,0
1232,1
1140,1
330,0
1208,0
307,0
145,0
248,1
309,0
999,0
69,0
905,1
437,0
689,0
1059,0
618,0
984,1
1149,0
671,1
422,1
1252,1
1295,0
387,0
969,0
822,0
60,0
1211,0
553,1
354,0
269,1
388,0
1201,1
113,0
496,1
1207,0
27,1
1317,0
394,1
32,0
766,1
76,0
237,1
915,0
1046,0
90,1
209,0
1146,1
305,0
1003,0
1210,0
831,0
204,0
1025,0
1312,0
898,0
172,0
575,1
959,1
1081,1
1410,1
1000,1
553,1
1094,1
68,0
548,1
739,1
739,1
1275,1
126,0
832,0
498,1
1079,1
447,1
649,0
352,1
198,1
230,1
991,0
55,1
1232,1
448,0
904,1
339,0
958,0
1275,1
1020,1
570,1
599,0
722,1
1263,1
329,0
528,1
269,1
1252,1
1136,0
1128,0
1415,0
1090,0
716,1
977,0
34,1
823,1
601,1
262,1
122,1
447,1
551,0
914,1
742,0
265,1
766,1
1226,1
408,0
20,0
1201,1
432,0
313,1
1163,1
90,1
371,0
905,1
533,1
1171,0
905,1
1038,0
574,1
235,0
1140,1
469,1
797,1
720,1
248,1
12,1
653,1
55,1
1297,0
208,0
380,0
524,0
720,1
364,0
592,0
1044,0
28,1
462,1
1118,1
926,1
143,1
120,1
140,0
1132,0
406,0
710,0
597,0
1120,1
720,1
946,1
762,1
1178,0
443,0
603,1
527,1
586,1
536,1
178,0
390,0
265,1
714,0
410,0
732,0
769,0
101,1
154,0
703,0
935,0
637,0
492,0
34,1
927,0
1201,1
1359,0
1043,0
59,1
1035,0
962,0
276,1
1138,0
92,1
1410,1
754,0
1055,1
100,1
1351,1
1055,1
1388,1
16,0
38,0
143,1
150,1
165,0
567,0
1131,1
374,0
583,0
1331,0
434,1
533,1
796,1
1372,0
563,0
653,1
653,1
533,1
533,1
265,1
334,0
1400,0
904,1
766,1
176,1
694,0
500,0
59,1
900,0
516,0
1377,0
83,1
54,0
1117,0
1348,0
933,1
313,1
13,0
569,1
385,0
1031,1
672,1
1050,0
678,0
462,1
914,1
774,1
119,0
959,1
429,0
762,1
575,1
558,0
401,0
262,1
271,1
12,1
1155,0
1153,0
553,1
648,0
1311,0
223,0
772,0
1113,1
89,0
1409,1
920,1
576,0
210,0
575,1
1351,1
905,1
1109,0
1074,0
696,1
609,0
271,1
1252,1
918,0
308,0
905,1
493,0
734,1
373,0
1251,0
31,1
730,0
1279,0
198,1
150,1
734,1
537,1
1079,1
21,1
1020,1
1116,1
1320,0
313,1
1301,0
120,1
211,0
926,1
799,0
229,0
1140,1
290,0
1338,0
280,1
287,1
1306,1
1411,0
688,0
1357,0
256,1
1202,0
544,0
480,1
733,0
1237,1
436,0
677,0
774,1
1012,0
1053,1
793,0
83,1
775,0
905,1
619,0
846,0
1216,0
262,1
956,0
868,0
496,1
434,1
458,1
27,1
134,1
160,0
574,1
1146,1
304,1
288,1
198,1
230,1
1269,0
422,1
538,0
929,0
1,0
1238,0
90,1
741,1
47,1
1369,0
1319,1
1214,0
883,0
265,1
276,1
1088,0
975,1
473,1
1104,0
1193,1
659,0
549,0
3,0
1395,1
466,0
43,0
1130,0
61,0
27,1
1134,0
672,1
761,1
193,0
26,1
133,0
494,0
1275,1
762,1
1076,0
92,1
1313,0
469,1
925,0
1163,1
920,1
1189,0
147,0
1342,0
720,1
1120,1
1388,1
486,0
653,1
91,1
1180,1
1019,0
286,0
1360,0
150,1
1118,1
1081,1
1239,0
36,1
1081,1
639,0
422,1
1167,0
952,0
1355,0
904,1
658,0
764,0
369,0
271,1
325,0
800,1
1078,1
662,0
143,1
824,1
1410,1
1094,1
266,0
275,0
849,1
674,0
1179,1
1140,1
758,1
489,0
527,1
1175,0
1193,1
1198,0
1020,1
1253,0
469,1
87,0
635,1
942,0
1158,0
924,0
715,0
849,1
926,1
365,0
288,1
890,1
506,1
762,1
294,0
553,1
762,1
11,0
360,0
134,1
1319,1
1163,1
1193,1
635,1
876,0
271,1
627,1
469,1
447,1
230,1
1275,1
606,0
627,1
542,1
1031,1
88,0
1129,1
347,0
1201,1
616,0
586,1
176,1
1231,0
1129,1
757,0
288,1
256,1
797,1
170,0
726,1
312,0
1031,1
274,0
1131,1
185,0
1146,1
1201,1
992,0
586,1
271,1
1060,0
823,1
762,1
926,1
1346,0
21,1
74,1
394,1
473,1
166,0
911,1
1254,0
58,0
568,0
474,0
1358,0
1248,0
699,0
716,1
1334,0
1289,1
269,1
1034,0
139,0
823,1
1146,1
280,1
287,1
447,1
1005,1
797,1
517,1
743,0
114,0
1095,0
620,0
787,0
498,1
496,1
447,1
1380,0
161,0
1319,1
103,0
972,1
845,0
671,1
736,0
192,0
458,1
111,0
101,1
31,1
273,0
1200,0
1195,0
580,0
451,0
1226,1
761,1
528,1
237,1
1172,0
784,0
698,0
722,1
741,1
570,1
552,0
972,1
1115,0
332,0
1206,1
1345,0
1410,1
531,0
1382,0
19,0
1308,1
989,0
930,0
506,1
1081,1
28,1
1293,0
1161,0
188,0
136,1
319,0
1118,1
636,0
304,1
239,0
696,1
635,1
797,1
528,1
542,1
946,1
642,0
28,1
27,1
100,1
55,1
1126,0
800,1
1232,1
191,0
570,1
718,0
601,1
806,0
928,0
383,0
1116,1
797,1
1308,1
1055,1
527,1
1018,1
143,1
53,0
1255,0
232,0
1081,1
356,0
28,1
12,1
352,1
247,0
394,1
582,0
601,1
758,1
857,0
1263,1
902,0
1018,1
498,1
1308,1
219,0
6,0
155,0
887,0
602,0
1414,0
631,1
557,0
176,1
1116,1
1079,1
74,1
26,1
1016,0
1081,1
532,0
469,1
601,1
833,0
1163,1
890,1
34,1
151,0
975,1
852,0
1024,0
1354,0
1325,0
728,0
949,0
9,0
513,0
517,1
292,0
758,1
603,1
774,1
1282,0
1062,0
758,1
706,0
498,1
1333,0
905,1
1179,1
590,0
810,0
378,0
1113,1
605,0
439,1
1268,0
469,1
701,0
322,0
1318,0
673,0
1179,1
462,1
122,1
672,1
51,0
625,0
1395,1
886,0
712,0
771,0
1375,0
739,1
18,1
586,1
33,0
411,1
1052,0
242,0
1206,1
18,1
1381,0
1163,1
42,0
1230,0
726,1
739,1
655,0
797,1
12,1
5,0
1015,0
487,0
39,0
350,0
321,0
447,1
591,0
664,0
1262,0
459,0
134,1
1123,0
774,1
671,1
1146,1
376,0
1177,0
116,0
344,0
691,1
598,0
1241,1
1197,0
248,1
121,0
1310,0
144,0
1397,0
26,1
804,0
1118,1
721,0
512,0
394,1
624,0
198,1
108,0
765,0
405,0
422,1
890,1
184,0
501,0
12,1
517,1
1340,0
1137,0
301,0
509,0
1225,0
722,1
265,1
734,1
564,0
726,1
30,0
528,1
1227,0
543,1
643,0
1070,1
959,1
537,1
707,0
79,0
503,0
270,0
64,0
1000,1
934,0
452,0
1339,0
570,1
1055,1
909,0
957,0
1066,0
1275,1
601,1
4,0
556,1
1296,0
746,0
1116,1
348,0
225,0
1226,1
92,1
370,0
1140,1
1319,1
813,0
231,1
1308,1
720,1
34,1
1410,1
1324,0
